izdelek,2018,2019,2020,2021,2022,2023,2024,kategorija
Moški nizki čevlji  usnjeni (par),66.86,65.65,62.16,60.04,62.45,71.12,73.1, OBUTEV
Ženski salonarji (par),56.23,56.52,55.01,48.59,47.96,56.89,60.77, OBUTEV
Športni copati za tek  ženski (par),65.9,68.9,66.63,69.18,62.9,67.99,73.81, OBUTEV
Otroški čevlji  usnjeni (par),41.22,43.92,41.05,42.18,42.73,46.61,49.88, OBUTEV
Podplatenje moških čevljev  delo in material (par),18.25,18.46,18.59,18.85,20.26,22,22.48, OBUTEV
Neprofitna najemnina  m2 (storitev),2.62,2.63,2.57,2.77,3.49,3.81,3.99, DEJANSKE NAJEMNINE ZA STANOVANJA
Pleskanje prostorov  delo in material (m2),2.54,2.65,2.81,3.05,3.33,3.81,3.96, VZDRŽEVANJE IN POPRAVILO STANOVANJA
Zemeljski plin  za ogrevanje (kWh),0.06196,0.06228,0.0589,0.06013,0.10331,0.11101,0.0987, ELEKTRIČNA ENERGIJA PLIN IN DRUGA GORIVA
Kurilno olje (l),0.964,0.98,0.831,0.991,1.321,1.145,1.165, ELEKTRIČNA ENERGIJA PLIN IN DRUGA GORIVA
Vzmetnica velikosti 190/200 x 90 cm (kos),201.79,204.67,208.12,216.43,238.21,271.07,291.33, POHIŠTVO IN STANOVANJSKA OPREMA PREPROGE IN DRUGE TALNE OBLOGE
Sedežna kotna garnitura z ležiščem (kos),956.09,993.66,987.76,1073.93,1164.5,1288.02,1345.79, POHIŠTVO IN STANOVANJSKA OPREMA PREPROGE IN DRUGE TALNE OBLOGE
Kuhinjska miza  klasična (kos),229.72,219.06,220.08,230.39,265.9,294.55,293.75, POHIŠTVO IN STANOVANJSKA OPREMA PREPROGE IN DRUGE TALNE OBLOGE
Kuhinjski stol (kos),81.79,80.69,82.17,83.73,91.42,96.58,98.05, POHIŠTVO IN STANOVANJSKA OPREMA PREPROGE IN DRUGE TALNE OBLOGE
Jogi rjuha za enojno posteljo (kos),13.78,14.59,14.09,15.4,19.03,20.15,19.58, TEKSTILNI IZDELKI ZA GOSPODINJSTVO
Posteljnina za eno osebo (komplet),29.21,30.85,29.17,30.76,36.14,38.86,36.95, TEKSTILNI IZDELKI ZA GOSPODINJSTVO
Prešita odeja 130/140 x 200/220 cm (kos),42.67,50.13,50.26,53.77,55.86,64.61,63.5, TEKSTILNI IZDELKI ZA GOSPODINJSTVO
Brisača velikosti 50/70 x 100/150 cm (kos),7.61,7.66,7.69,7.37,8.1,8.85,9.36, TEKSTILNI IZDELKI ZA GOSPODINJSTVO
Kombinirani hladilnik dvoje vrat (kos),518.55,512.77,499.14,541.76,582.52,587.68,606.68, GOSPODINJSKI APARATI
Pralni stroj zmogljivost 6 - 8 kg (kos),450.6,479.05,473.14,494.81,534.2,579.16,603.21, GOSPODINJSKI APARATI
Samostojna kuhalna plošča 4 indukcijska kuhališča (kos),482.23,462.13,475.9,492.03,531.14,563.66,563.76, GOSPODINJSKI APARATI
Sesalnik za prah klasični (kos),154.97,151.96,161.21,157.16,175.73,172.57,201.89, GOSPODINJSKI APARATI
Likalnik moč 2500 W (kos),64.57,60.77,51.3,50.47,56.63,62.84,63.07, GOSPODINJSKI APARATI
Krožnik premera 23 - 27 cm (kos),3.21,3.32,3.19,3.31,3.93,4.31,4.2, STEKLENINA NAMIZNI PRIBOR IN GOSPODINJSKI PRIPOMOČKI
Kozarec za vodo navaden steklen 2 - 3.3 dl (kos),1.29,1.34,1.26,1.29,1.34,1.62,1.64, STEKLENINA NAMIZNI PRIBOR IN GOSPODINJSKI PRIPOMOČKI
Jedilni pribor nerjaveč  komplet za 6 oseb (komplet),39.42,43.79,40.32,40.83,42.5,42.47,42.63, STEKLENINA NAMIZNI PRIBOR IN GOSPODINJSKI PRIPOMOČKI
Lonec ali kozica s pokrovko (kos),24.25,23.63,23.18,24.22,25.31,27.05,27.36, STEKLENINA NAMIZNI PRIBOR IN GOSPODINJSKI PRIPOMOČKI
Ponev premer 24 cm (kos),18.03,17.59,18.38,17.94,20.29,22.49,23.57, STEKLENINA NAMIZNI PRIBOR IN GOSPODINJSKI PRIPOMOČKI
Motorna kosilnica 4 taktna  s košem (kos),380.94,404.25,407.67,443.08,463.99,487.56,452.19, ORODJE IN OPREMA ZA HIŠO IN VRT
LED sijalka 8 W (kos),5.98,5.6,5.4,5.32,5.57,5.74,5.48, ORODJE IN OPREMA ZA HIŠO IN VRT
