Title;Date;Price (€);Product Name
Mana akcija – 25 % na ženska oblačila do 15. 11.;15.11.2015;9.74;"Izkoristite odlično vikend akcijo in prihranite kar – 25 % na ženska oblačila. Akcija velja od 12. 11. do 15. 11. 2015 v vseh trgovinah Mana v Sloveniji.
Ta konec tedna v trgovinah Mana – 25 % popusta na ženska oblačila: plašči, hlače, krila, obleke, majice – ob nakupu prihranite kar – 25 %. Popust ne velja za obutev, modne dodatke, pižame, spodnje perilo in nogavice.
Pripravite se na mrzla jutra in prihranite – 25 %. Za Vas so iz Mane pripravili nekaj namigov za nakup. Informativne cene so že z vključenim 50 % popustom:
– Plašč"
Intersport akcija Sosedov vikend ugodnosti;15. 11. 2015;;
Eurospin sobota norih cen 14. 11.;14.11.2015;0.99;"Sobota norih cen velja 14. 11. 2015 v vseh trgovinah Eurospin v Sloveniji.
To soboto v trgovini Eurospin akcija naslednjih izdelkov:
– Hruške Viljamovke bele"
Lidl super sobota 14. 11.;14.11.2015;0.22;"Super sobota velja 14. 11. 2015 v vseh trgovinah Lidl v Sloveniji.
To soboto boste lahko v trgovinah Lidl ceneje kupili naslednje izdelke:
– Puranji zrezki 500 g"
Hofer vikend akcija do 15. 11.;15.11.2015;0.39;"Več kot vikend – Hofer vikend velja v soboto, 14. 11., in v nedeljo, 15. 11. 2015 v vseh trgovinah Hofer v Sloveniji.
V soboto in nedeljo v trgovinah Hofer akcija naslednjih izdelkov:
– Haribo gumi bonboni medvedki"
Mass akcija – 25 % popusta na vse do 17. 11.;17.11.2015;;
DM akcija – kuponi za 50% popust na izdelke za dom;5.12.2015;;
Pikapolonica vikend akcija do 7. 11.;7.11.2015;;
Mass  vikend akcija do 9. 11.;9.11.2015;;
Sportina akcija 20 % na izdelke Fracomina;8.11.2015;;
Hervis vikend akcija do 9. 11.;9.11.2015;;
Lidl super sobota 7. 11.;7.11.2015;0.39;"Super sobota velja 07. 11. 2015 v vseh trgovinah Lidl v Sloveniji.
To soboto boste lahko v trgovinah Lidl ceneje kupili naslednje izdelke:
– Svinjski file 450 g za"
Eurospin sobota norih cen 7. 11.;7.11.2015;0.35;"Sobota norih cen velja 07. 11. 2015 v vseh trgovinah Eurospin v Sloveniji.
To soboto boste lahko v trgovinah Eurospin ceneje kupili naslednje izdelke:
– Pomaranče Navel 2 kg za 1 €
– Pšenična bela moka tip 500 za"
Mercator akcija Moj vikend do 8. 11.;8.11.2015;0.79;"Akcija Moj vikend velja od 06. 11. do 08. 11. 2015 v vseh živilskih trgovinah in franšizah Mercator v Sloveniji. Akcija velja ob nakupu ostalih izdelkov, ki niso vključeni v vikend akcijo, v vrednosti najmanj 5 €.
Od petka do nedelje v trgovinah Mercator akcija naslednjih izdelkov:
– Krvavice Anton"
Hofer vikend akcija do 8. 11.;8.11.2015;0.59;"Več kot vikend – Hofer vikend traja v soboto, 07. 11., in v nedeljo, 08. 11. 2015 v vseh trgovinah Hofer v Sloveniji.
To soboto in nedelje Vas v trgovinah Hofer čaka akcija naslednjih izdelkov:
– Pečenice"
Mana akcija – 25 % na športna oblačila do 8. 11.;8.11.2015;6.74;"Akcija – 25 % popusta velja od 02. 11. do 08. 11. 2015 v vseh trgovinah Mana v Sloveniji.
Ne spreglejte odlične akcijske ponudbe v trgovinah Mana in izkoristite – 25 % popusta na športna oblačila za vso družino. Med drugim boste v pestri ponudbi našli:
– Ženska trenirka"
E Leclerc Hit sobota 31. 10.;31.10.2015;1.14;"Akcija Hit sobota velja 31. 10. 2015 v trgovini E Leclerc v Ljubljani.
Samo to soboto v trgovini E Leclerc Ljubljana akcija naslednjih izdelkov:
– Zelena paprika"
Perutnina Ptuj vikend akcija do 31. 10.;31.10.2015;3.38;"Perutnina Ptuj vikend akcija velja v soboto, 31. 10. 2015 v vseh trgovinah Perutnina Ptuj v Sloveniji. V nedeljo, 01. 11. 2015 so trgovine Perutnina Ptuj zaradi praznika zaprte.
Ta konec tedna v trgovinah Perutnina Ptuj:
– MEGA sobota; 31. 10. 2015; piščančje prsi, sveže, vakuum, cca. 2,5 kg za"
Sportina akcija Dodatnih – 20 % do 31. 10.;31.10.2015;21.6;"Akcija velja od 29. 10. do 31. 10. 2015 v vseh trgovinah Sportina v Sloveniji.
Izkoristite dodatnih – 20 % popusta na jakne, plašče, srajce in hlače. Akcija velja tudi za že znižane izdelke. Izkoristite ugodne cene samo v času akcije:
– Jakne in plašči že od"
Lidl super petek 30. 10.;30.10.2015;1.39;"Akcija Super petek velja 30. 10. 2015 v vseh trgovinah Lidl v Sloveniji.
Ta petek boste v trgovinah Lidl prihranili ob nakupu naslednjih izdelkov:
– Odojek"
Hofer akcija do 31. 10.;31.10.2015;0.25;"Pri Hoferju Vam vsak teden ponujajo nekaj izdelkov iz ponudbe po akcijskih cenah. V izbor teh izdelkov, ki jih najdete v vseh Hofer poslovalnicah v Sloveniji, uvrščajo tako živilske kot tudi neživilske izdelke. Preverite, morda je tudi tokrat v akciji vaš najljubši izdelek.
Akcija Več kot vikend – Hofer vikend velja v petek, 30. 10., in v soboto, 31. 10. 2015.
V petek in soboto za Vas naslednji izdelki po akcijskih cenah:
– Maggi juha"
C&A akcija – 20 % na jakne in plašče do 31. 10.;31.10.2015;;
Mercator akcija Moj vikend do 1. 11.;1.11.2015;0.59;"Akcija Moj vikend velja od 29. 10. do 01. 11. 2015 v vseh živilskih prodajalnah in franšizah Mercator v Sloveniji.
Od četrtka do nedelje v trgovinah Mercator naslednje akcije:
– Pečenice Ave"
Hervis akcija kupon – 20 % popusta do 2. 11.;2.11.2015;;
Pikapolonica vikend akcija do 2. 11.;2.11.2015;;
Mana akcija – 25 % na zimske jakne in  plašče;1.11.2015;;
Perutnina Ptuj vikend akcija do 25. 10.;25.10.2015;20.0;"Akcija velja v soboto, 24. 10. in v nedeljo, 25. 10. 2015 v prodajalnah Perutnina Ptuj v Sloveniji.
Ta vikend boste v trgovinah Perutnina Ptuj našli naslednje akcije:
– Mega sobota, 24. 10. 2015: piščančji medaljoni, zamrznjeni 1 kg, 1 +1 gratis
– V nedeljo, 25. 10. 2015; ob hkratnem nakupu nad"
Sportina vikend akcija – 15 %  na izdelke Marx;25.10.2015;;
Hervis vikend akcija do 26. 10.;26.10.2015;;
Pikapolonica vikend akcija do 26. 10.;26.10.2015;28.72;"Akcija velja od petka, 23. 10. do ponedeljka, 26. 10. 2015 v otroških trgovinah Pikapolonica, spletna akcija velja v enakem obdobju v spletni trgovini Pikapolonica.
Od petka do ponedeljka ne spreglejte:
– Tosama vpojne blazinice 2 +1 gratis
Spletna akcija – 20 % na izbrane izdelke:
– stol Max"
Lidl super sobota 24. 10.;24.10.2015;1.59;"Super sobota velja 24. 10. 2015 v vseh trgovinah Lidl v Sloveniji.
To soboto boste lahko v trgovinah Lidl ceneje kupili:
– Piščančja stegna"
