Title;Date;Price (€);Product Name
Spar in Interspar akcija za začetek tedna do 11.2.;11.02.2025.;1.99;Kisla repa, pakirano 1kg, namesto
Spar in Interspar akcija za začetek tedna do 11.2.;11.02.2025.;1.19;Slovenska jabolka Gala 1kg, namesto
Spar in Interspar akcija za začetek tedna do 11.2.;11.02.2025.;2.49;Borovnice, pakirano 300g, namesto
Spar in Interspar akcija za začetek tedna do 4.2.;04.02.2025.;0.89;Bio rukola, pakirano 100g
Spar in Interspar akcija za začetek tedna do 4.2.;04.02.2025.;1.49;Jagode, pakirano 250g
Spar in Interspar akcija za začetek tedna do 28.1.;28.01.2025.;4.89;30% cemeje pivo Staropramen, svetlo 5% alk.
Spar in Interspar akcija za začetek tedna do 28.1.;28.01.2025.;1.99;Solata gentile kristalka 1kg
Spar in Interspar akcija za začetek tedna do 28.1.;28.01.2025.;0.99;Slovenska jabolka Zlatni Delišes 1kg
Spar in Interspar akcija za začetek tedna do 28.1.;28.01.2025.;0.89;Pomaranče 1kg
Muller akcija na vse za malčke januar 2025;21.01.2025.;15.0;"Lesene igrače znamk Simba in Heros
Popust se obračuna na blagajni ob nakupu nad"
Spar in Interspar akcija za začetek tedna do 21.1.;21.01.2025.;1.79;40% ceneje jagode, pakirano 250g, redna cena
Spar in Interspar akcija za začetek tedna do 21.1.;21.01.2025.;18.99;Atlantski losos file, sveže postrežno 1kg, redna cena
Spar in Interspar akcija za začetek tedna do 21.1.;21.01.2025.;1.29;Sladki krompir 1kg redna cena
Spar in Interspar akcija za začetek tedna do 21.1.;21.01.2025.;1.99;Belo grozdje, brez pešk, pakirano 500g, redna cena
Spar in Interspar akcija za začetek tedna do 14.1.;14.01.2025.;1.99;Solata gentile 1kg, redna cena
Spar in Interspar akcija za začetek tedna do 14.1.;14.01.2025.;0.79;Banane 1kg redna cena
Spar in Interspar akcija za začetek tedna do 7.1.;07.01.2025.;2.45;Slovenski krompir, pakiran 5kg
Spar in Interspar akcija za začetek tedna do 7.1.;07.01.2025.;1.99;Klementine, pakirano 2kg
Spar in Interspar akcija za začetek tedna do 24.12.;24.12.2024.;;
Hofer akcija za početek tedna do 24.12.;24.12.2024.;2.39;"Hofer praznična ponudba
Pripremite svečani praznični obrok uz posebne ponude koje je Hofer pripremio za vas! Iskoristite kratkotrajne popuste na visokokvalitetne proizvode i obradujte svoju porodicu i prijatelje ukusnim delicijama.





Izdvajamo iz ponude:
    Svinjska krača – Samo"
Hofer akcija za početek tedna do 24.12.;24.12.2024.;6.99;"Klasična poslastica za prazničnu trpezu, savršena za polako pečenje.
    Punjena svinjska potrbušina – Samo"
Hofer akcija za početek tedna do 24.12.;24.12.2024.;9.99;"Fantastičan izbor za ljubitelje svinjetine. Već punjena i spremna za pripremu.
    Račja bedra – Samo"
Hofer akcija za početek tedna do 24.12.;24.12.2024.;10.99;"Uživajte u sočnim i aromatičnim račjim bedrima – pravi izbor za svečane večere.
    File lososa (600 g) – Samo"
Hofer akcija za početek tedna do 24.12.;24.12.2024.;21.99;"Svježi losos visoke kvalitete, idealan za zdrave i gurmanske obroke.
    Teleća zarebnica – Samo"
Hofer akcija za početek tedna do 24.12.;24.12.2024.;5.49;"Luksuzan odrezak za ljubitelje goveđih specijaliteta.
    Pileće božićne krače (700 g) – Samo"
Hofer akcija za početek tedna do 24.12.;24.12.2024.;21.99;"Hrskavo i ukusno – već pripremljene pileće krače za brzu i ukusnu večeru.
    Teleći tomahawk – Samo"
Spar in Interspar akcija za začetek tedna do 24.12.;24.12.2024.;;
Muller akcija na vse za malčke;11.12.2024.;15.0;"Lesene igrače znamk Simba in Heros
Popust se obračuna na blagajni ob nakupu nad"
Spar in Interspar akcija za začetek tedna do 10.12.;10.12.2024.;1.19;40% praznični popust pomaranče Natalia 1kg, redna cena
Spar in Interspar akcija za začetek tedna do 4.12.;04.12.2024.;;
Spar in Interspar akcija za začetek tedna do 26.11.;26.11.2024.;;
Spar in Interspar akcija za začetek tedna do 19.11.;19.11.2024.;;
Spar in Interspar akcija za začetek tedna do 5.11.;05.11.2024.;;
Spar in Interspar akcija za začetek tedna do 29.10.;29.10.2024.;14.99;Pršut Lokev, kosi 1kg, namesto
Spar in Interspar akcija za začetek tedna do 29.10.;29.10.2024.;4.99;Kostanj 1kg namesto
Spar in Interspar akcija za začetek tedna do 29.10.;29.10.2024.;1.99;Kaki perismon- vanilija 1kg, namesto
Spar in Interspar akcija za začetek tedna do 22.10.;22.10.2024.;3.99;Svinjsko pleče brez kosti, postrežno 1kg namesto
Spar in Interspar akcija za začetek tedna do 22.10.;22.10.2024.;1.79;Slovenske hruške viljamovke 1kg, namesto
Spar in Interspar akcija za začetek tedna do 22.10.;22.10.2024.;0.99;Slovenske buče hokaido in maslenke 1kg, namesto
Spar in Interspar akcija za začetek tedna do 15.10.;15.10.2024.;4.99;Kostanj 1kg, namesto
Spar in Interspar akcija za začetek tedna do 15.10.;15.10.2024.;0.89;Banane 1kg, namesto
Spar in Interspar akcija za začetek tedna do 8.10.;08.10.2024.;2.99;Piščančji zrezki pakirano 480g, namesto
Spar in Interspar akcija za začetek tedna do 8.10.;08.10.2024.;1.39;Slovenska jabolka Elstar 1kg, namesto
Spar in Interspar akcija za začetek tedna do 8.10.;08.10.2024.;2.49;Slovenski krompir, pakirano 3,5kg, redna cena
Spar in Interspar akcija za začetek tedna do 1.10.;01.10.2024.;2.49;Mleti piščančji file beder, pakirano Pivka 400g
Spar in Interspar akcija za začetek tedna do 1.10.;01.10.2024.;1.69;Paprika Rdeča dolga kapija 1kg
Spar in Interspar akcija za začetek tedna do 1.10.;01.10.2024.;1.79;Slovenske hruške Viljamovke 1kg
Spar in Interspar akcija za začetek tedna do 24.9.;24.09.2024.;3.29;Mleto goveje meso, pkairano 480g
Spar in Interspar akcija za začetek tedna do 24.9.;24.09.2024.;1.39;Slovenska jabolka Elstar 1kg
Spar in Interspar akcija za začetek tedna do 24.9.;24.09.2024.;2.39;Piščančje hrenovke hot dog, Perutnina Ptuj 624g, 480g + 144g gratis
Spar in Interspar akcija za začetek tedna do 24.9.;24.09.2024.;2.99;Slovenski krompir, 5kg
Spar in Interspar akcija za začetek tedna do 17.9.;17.9.2024;2.99;30% ceneje piščančji zrezki ik, pakirano 480g, redna cena
Spar in Interspar akcija za začetek tedna do 17.9.;17.9.2024;0.89;Banane 1kg, redna cena
Spar in Interspar akcija za začetek tedna do 17.9.;17.9.2024;1.69;Rdeča dolga paprika kapija 1kg, redna cena
Spar in Interspar akcija za začetek tedna do 10.9.;10.09.2024.;2.25;40% mleti file piščančjih beder ik, pakirano 400g
Spar in Interspar akcija za začetek tedna do 10.9.;10.09.2024.;1.69;Paprika babura 1kg
Spar in Interspar akcija za začetek tedna do 10.9.;10.09.2024.;1.79;Slovenske hruške Viljamovke 1kg
Spar in Interspar akcija za začetek tedna do 3.9.;03.09.2024.;2.99;30% piščančji zrezki IK, pakirano 30% ceneje
Spar in Interspar akcija za začetek tedna do 3.9.;03.09.2024.;0.89;Banane 1kg, 40% ceneje, 1kg
Spar in Interspar akcija za začetek tedna do 3.9.;03.09.2024.;1.99;Slovenski paradižnik v grozdu Lušt 1kg
Spar in Interspar akcija za začetek tedna do 27.8.;27.08.2024.;2.25;Piščančji mleti file Bederik 400g
Spar in Interspar akcija za začetek tedna do 27.8.;27.08.2024.;1.4;Slovenska jabolka Elstar 1kg
Spar in Interspar akcija za začetek tedna do 27.8.;27.08.2024.;2.99;Slovenski mladi krompir
Spar in Interspar akcija za začetek tedna do 20.8.;Do daljnjeg;7.99;Mlado goveje stegno, postrežno 1kg
Spar in Interspar akcija za začetek tedna do 20.8.;Do daljnjeg;0.89;Banane 1kg
Spar in Interspar akcija za začetek tedna do 20.8.;Do daljnjeg;1.69;Paprika babura 1kg
Spar in Interspar akcija za začetek tedna do 13.8.;13.08.2024.;4.99;Piščančji file 1kg
Spar in Interspar akcija za začetek tedna do 13.8.;13.08.2024.;1.49;Breskve 1kg
Spar in Interspar akcija za začetek tedna do 13.8.;13.08.2024.;1.69;Slovenski paradižnik v grozdu 1kg
Spar in Interspar akcija za začetek tedna do 6.8.;Do daljnjeg;2.25;Mleti piščančji file Bederik 40% ceneje, 400g
Spar in Interspar akcija za začetek tedna do 6.8.;Do daljnjeg;1.49;Nektarine 1kg
Spar in Interspar akcija za začetek tedna do 6.8.;Do daljnjeg;1.19;Paradižnik Grapolo 1kg
Spar in Interspar akcija za začetek tedna do 30.7.;30.07.2024.;2.99;Piščančji zrezki, pakirano 480g
Spar in Interspar akcija za začetek tedna do 30.7.;30.07.2024.;2.19;Paradižnik v grozdu lušt 1kg
Spar in Interspar akcija za začetek tedna do 30.7.;30.07.2024.;1.49;Breskve 1kg
Spar in Interspar akcija za začetek tedna do 23.7.;23.07.2024.;7.99;Mlado goveje stegno, brez kosti, postrežno 1kg
Spar in Interspar akcija za začetek tedna do 23.7.;23.07.2024.;1.19;Paradižnik Grapolo 1kg 40% ceneje 1kg
Spar in Interspar akcija za začetek tedna do 23.7.;23.07.2024.;0.89;Banane 1kg 40% ceneje
Spar in Interspar akcija za začetek tedna do 16.7.;16.07.2024.;3.49;Svinjsko pleče brez kosti, postrežno 1kg
Spar in Interspar akcija za začetek tedna do 16.7.;16.07.2024.;1.99;Paprika babura 1kg
Spar in Interspar akcija za začetek tedna do 16.7.;16.07.2024.;5.99;Hrenovke Frankfurter, postrećno 1kg
Spar in Interspar akcija za začetek tedna do 16.7.;16.07.2024.;1.49;Breskve 1kg
Spar in Interspar akcija za začetek tedna do 9.7.;09.07.2024.;2.99;Piščančji zrezki ik, pakirano 480g
Spar in Interspar akcija za začetek tedna do 9.7.;09.07.2024.;1.19;Paradižnik Grapolo 1kg 40% ceneje
Spar in Interspar akcija za začetek tedna do 9.7.;09.07.2024.;1.49;Nektarine 1kg
Spar in Interspar akcija za začetek tedna do 9.7.;09.07.2024.;6.29;Alpsko mleko polnomastno Ljubljanske mlekarne 6 x 1l, 1l redna cena
Spar in Interspar akcija za začetek tedna do 2.7.;02.07.2024.;2.99;Slovenske borovnice pakiranje 250g
Spar in Interspar akcija za začetek tedna do 2.7.;02.07.2024.;1.99;Paprika babura 1kg
Spar in Interspar akcija za začetek tedna do 2.7.;02.07.2024.;6.59;Piščančja prsa v ovitku 1kg 50% ceneje
Spar in Interspar akcija za začetek tedna do 2.7.;02.07.2024.;2.25;Mleti file Bederik pakirano Pivka 400g 40% ceneje
Spar in Interspar akcija za začetek tedna 24.6.;24.06.2024.;0.69;Slovensko mlado zelje 1kg
Spar in Interspar akcija za začetek tedna 24.6.;24.06.2024.;0.99;Slovenska jabolka Idared 1kg
Spar in Interspar akcija za začetek tedna 24.6.;24.06.2024.;8.75;Poli salama maxi Perutnina Ptuj 1kg
Spar in Interspar akcija za začetek tedna do 18.6.;18.06.2024.;1.69;Breskve 1kg
Spar in Interspar akcija za začetek tedna do 18.6.;18.06.2024.;1.99;Paprika babura 1kg
Spar in Interspar akcija za začetek tedna do 11.6.;11.06.2024.;1.89;Marelice 1kg
Spar in Interspar akcija za začetek tedna do 11.6.;11.06.2024.;1.39;Solatni paradižnik 1kg
Spar in Interspar akcija za začetek tedna do 11.6.;11.06.2024.;4.89;Mleto mešano meso, pakirano AVE 1kg
Spar in Interspar akcija za začetek tedna do 4.6.;04.06.2024.;0.99;Slovenska jabolka Idared 1kg
Spar in Interspar akcija za začetek tedna do 4.6.;04.06.2024.;1.99;Slavenski paradižnik v grozdu 1kg
Spar in Interspar akcija za začetek tedna do 28.5.;28.05.2024.;0.99;Slovenska jabolka Gala 1kg
Spar in Interspar akcija za začetek tedna do 28.5.;28.05.2024.;1.99;Slovenski paradižnik Mali Lušt 350g
Spar in Interspar akcija za začetek tedna do 21.5.;21.05.2024.;1.29;Limone 1kg
Spar in Interspar akcija za začetek tedna do 21.5.;21.05.2024.;2.99;Slovenski paradižnik v grozdu 1kg
Spar in Interspar akcija za začetek tedna do 14.5.;14.05.2024.;1.99;Slovenski paradižnik lušt 200g ali 300g
Spar in Interspar akcija za začetek tedna do 14.5.;14.05.2024.;4.99;Bio borovnice 500g
Spar in Interspar akcija za začetek tedna do 7.5.;07.05.2024.;1.99;Slovenski paradižnik lušt 200g ali 300g
Spar in Interspar akcija za začetek tedna do 7.5.;07.05.2024.;2.99;Slovenske jagode 500g
Spar in Interspar akcija za začetek tedna do 30.4.;30.04.2024.;1.49;Paradižnik Grapolo 1kg 40% ceneje
Spar in Interspar akcija za začetek tedna do 30.4.;30.04.2024.;0.59;Mladi krompir 40% ceneje 1kg
Mercator akcija za začetek tedna do 30.4.;30.04.2024.;4.99;Svinjski vrat brez kosti 1kg
Mercator akcija za začetek tedna do 30.4.;30.04.2024.;2.99;Slovenske jagode 500g
Mercator akcija za začetek tedna do 30.4.;30.04.2024.;6.59;Sir Edamec Mu 1kg
Mercator akcija za začetek tedna do 30.4.;30.04.2024.;1.24;Sonično olje Dijamant 1l
Mercator akcija za začetek tedna do 30.4.;30.04.2024.;0.95;Pijača Pepsi Cola
Mercator akcija za začetek tedna do 30.4.;30.04.2024.;2.59;Papirnate brisače Paloma
Mercator akcija za začetek tedna do 30.4.;30.04.2024.;11.76;Plato piva za samo
Spar in Interspar akcija za začetek tedna do 23.4.;23.04.2024.;0.35;Energijski napitek S Budget 250ml 12 + 12 gratis, redna cena
Spar in Interspar akcija za začetek tedna do 23.4.;23.04.2024.;1.19;Ananas 1kg
Spar in Interspar akcija za začetek tedna do 23.4.;23.04.2024.;1.99;Slovenski paradižnik mali lušt 350g
Mercator akcija za začetek tedna do 23.4.;23.04.2024.;2.99;Mleto mešano meso Mercator 450g
Mercator akcija za začetek tedna do 23.4.;23.04.2024.;1.59;Ananas 1kg
Mercator akcija za začetek tedna do 23.4.;23.04.2024.;4.69;Sir Edamec 800g
Mercator akcija za začetek tedna do 16.4.;16.04.204.;4.99;Piščančji zrezki iz fileja PP Natur 450g, Perutnina Ptuj
Mercator akcija za začetek tedna do 16.4.;16.04.204.;9.99;Kaneloni Minute Mercator s šunko in sirom 1kg
Spar in Interspar akcija za začetek tedna do 16.4.;16.04.2024.;0.99;Banane 1kg
Mercator akcija za začetek tedna do 9.4.;09.04.2024.;3.99;Perutninsko mleto meso PP Natur, pakirano 600g, Perutnina Ptuj
Mercator akcija za začetek tedna do 9.4.;09.04.2024.;1.19;Mango cena za kos
Spar in Interspar akcija za začetek tedna do 9.4.;09.04.2024.;5.99;Puranji file postrežno 1kg
Spar in Interspar akcija za začetek tedna do 9.4.;09.04.2024.;1.49;Slovenska jabolka Topaz 1kg
Spar in Interspar akcija za začetek tedna do 3.4.;03.04.2024.;0.99;Slovenska jabolka Idared 1kg
Spar in Interspar akcija za začetek tedna do 26.3.;26.03.2024.;0.89;Banane 1kg
Mercator akcija za začetek tedna do 26.3.;26.03.2024.;4.99;Puranji zrezki iz fileja PP Natur, pakirani 400g Perutnina Ptuj
Mercator akcija za začetek tedna do 26.3.;26.03.2024.;0.99;Brokoli pakiran 500g
Mercator akcija za začetek tedna do 26.3.;26.03.2024.;8.99;Mesni sir klasik ali s sirom, postrežen, cena za 1 kg Pik Vrbovec Plus
Mercator akcija za začetek tedna do 19.3.;19.03.2024.;1.99;Pipčančje hrenovke Coctail Mercator, pakirane 500g
Mercator akcija za začetek tedna do 19.3.;19.03.2024.;0.99;Avokado kos
Mercator akcija za začetek tedna do 19.3.;19.03.2024.;7.99;Piščančje peruti pečene, postrežne 1kg
Spar in Interspar akcija za začetek tedna do 19.3.;19.03.2024.;;
Spar in Interspar akcija za začetek tedna do 12.3.;Do daljnjeg;11.39;Slanina s poprom, postrežno 1kg
Spar in Interspar akcija za začetek tedna do 12.3.;Do daljnjeg;1.79;Pomaranče pakirano 2kg
Spar in Interspar akcija za začetek tedna do 12.3.;Do daljnjeg;0.99;Pecivo ptiček, pakirano 50g, slastno pecivo za Gregorjevo
Mercator akcija za začetek tedna do 12.3.;12.03.2024.;3.99;Piščančji file PP Natur, pakiran 400g
Mercator akcija za začetek tedna do 12.3.;12.03.2024.;2.29;Namizno rdeče grozdje, pakirano 500g
Mercator akcija za začetek tedna do 12.3.;12.03.2024.;3.15;Skuta Mercator nepasirana 1kg
Mercator akcija za začetek tedna do 12.3.;12.03.2024.;0.89;Trajno polnomastno mleko Mercator 3,5% m.m. 1l
Mercator akcija za začetek tedna do 5.3.;05.03.2024.;2.99;Piščančje mleto meso Pivka, izbrana kakovost, pakirano 400g
Mercator akcija za začetek tedna do 5.3.;05.03.2024.;8.99;Pečena svinjska rebra postrežna, 1kg
Spar in Interspar akcija za začetek tedna do 5.3.;05.03.2024.;0.99;Banane 1kg
Spar in Interspar akcija za začetek tedna do 27.2.;27.02.2024.;1.29;Pomaranče Natalia 1kg
Mercator akcija za začetek tedna do 27.2.;27.02.2024.;6.99;Sir maasdamer Campina 1kg
Mercator akcija za začetek tedna do 27.2.;27.02.2024.;1.39;Avokado kos
Mercator akcija za začetek tedna do 27.2.;27.02.2024.;1.19;Panirani zvitek
Mercator akcija za začetek tedna do 20.2.;Do daljnjeg;3.99;Piščančji file PP Natur, mala mišica, izabrana kakovost, pakiran 400g
Mercator akcija za začetek tedna do 20.2.;Do daljnjeg;6.99;Mesna lazanja postrežna 1kg
Spar in Interspar akcija za začetek tedna do 20.2.;20.02.2024.;1.49;Mandarine 1kg
Spar in Interspar akcija za začetek tedna do 13.2.;13.02.2024.;0.99;Banane 1kg
Mercator akcija za začetek tedna  do 14.2.;14.02.2024.;17.99;Atlantski losos file 1kg
Mercator akcija za začetek tedna  do 14.2.;14.02.2024.;3.99;Piščančja bedra zrezki PP Natur 500g
Mercator akcija za začetek tedna  do 14.2.;14.02.2024.;0.99;Banane 1kg
Spar in Interspar akcija za začetek tedna do 6.2.;Do daljnjeg;;
Mercator akcija za začetek tedna do 6.2.;06.02.2024.;2.99;Mleto perutninsko meso PP Natur,  pakirano 450g Perutninsko Ptuj
Mercator akcija za začetek tedna do 6.2.;06.02.2024.;1.19;Redeča grenivke 1kg
Mercator akcija za začetek tedna do 6.2.;06.02.2024.;6.59;Pečena piščančja bedra, marinirana 1kg
Spar in Interspar akcija za začetek tedna do 30.1.;30.01.2024.;1.49;Mandarine 1kg
Mercator akcija za začetek tedna do 30.1.;30.01.2024.;9.99;Goveji golaž Minute 1kg
